Unnamed: 0.1,Unnamed: 0,ttext,Sentiment,Timestamp,User,Platform,htags,Retweets,Likes,Country,Year,Month,Day,Hour
,,The art of French pastry making,,,,,#Chef #Baking #Recipe,,,,,,,
355.0,359.0,Captivated by the serenity of a tranquil garden in full bloom.     , Serenity      ,2018-05-12 14:20:00, GardenEnthusiast , Facebook , #Serenity #TranquilGarden                ,22.0,45.0, Canada            ,2018.0,5.0,12.0,14.0
,,Observing the stars through a telescope,,,,,#Astronomy #Space,,,,,,,
,,The joy of seeing flowers bloom,,,,,#Gardening #Nature #GreenThumb,,,,,,,
,,Knitting a cozy sweater for winter,,,,,#Handmade #Crafts #Hobby,,,,,,,
228.0,232.0," Navigating through the labyrinth of thoughts, confusion a constant companion in the maze of ideas. ", Confusion       ,2021-05-02 11:45:00, MazeNavigator     , Facebook , #Confusion #ThoughtLabyrinth              ,14.0,28.0, Australia    ,2021.0,5.0,2.0,11.0
,,The rise of decentralized finance,,,,,#Blockchain #Web3 #SmartContracts #Crypto,,,,,,,
,,Virtual reality is changing social interactions,,,,,#Metaverse #VirtualReality #VR,,,,,,,
,,Extracting value from massive data lakes,,,,,#BigData #DataScience,,,,,,,
,,Sustainable living tips for beginners,,,,,#ZeroWaste #Green #Sustainable,,,,,,,
,,Sustainable design is the new standard,,,,,#Urban #Design,,,,,,,
,,Stoicism for modern life challenges,,,,,#Thinker #DeepThoughts #Philosophy #Wisdom,,,,,,,
297.0,301.0," Drowning in the abyss of despair, a heart shattered into fragments, lost in the echoing silence of hopelessness. ", Despair ,2021-09-15 16:00:00, ShatteredHeart , Instagram , #Despair #EchoingSilence ,8.0,16.0, Canada ,2021.0,9.0,15.0,16.0
,,Vertical farming is the future of food,,,,,#Sustainable #Farming #AgTech,,,,,,,
200.0,202.0," A numbness settles over me, a shield against the overwhelming emotions life throws my way. ", Numbness        ,2021-08-10 14:00:00, EmotionallyDistant , Twitter  , #Numbness #EmotionalShield                 ,8.0,15.0, India        ,2021.0,8.0,10.0,14.0
,,Managing cross-functional teams effectively,,,,,#ProjectManagement #Productivity,,,,,,,
,,Building scalable multi-tenant architectures,,,,,#Cloud #BusinessTech #Software #SaaS,,,,,,,
,,Sustainable living tips for beginners,,,,,#Eco #Green,,,,,,,
34.0,35.0, Feeling inspired after attending a workshop.       , Positive  ,2023-01-26 09:45:00, WorkshopAttendee, Instagram , #Inspiration #Workshop                  ,25.0,50.0,USA,2023.0,1.0,26.0,9.0
,,Visiting the modern art gallery,,,,,#Painting #FineArt,,,,,,,
,,Modern penthouse with a city view,,,,,#Investment #RealEstate #HomeBuying #Property,,,,,,,
,,Toddler life is full of surprises,,,,,#Family #Parenting,,,,,,,
,,Analyzing human behavior in urban settings,,,,,#Research #HumanBehavior,,,,,,,
,,Sustainable design is the new standard,,,,,#Design #Urban #Structure,,,,,,,
,,Vertical farming is the future of food,,,,,#Sustainable #AgTech #Agriculture,,,,,,,
,,My gaming setup is finally complete,,,,,#Gaming #Gamer,,,,,,,
,,Building humanoid robots for domestic help,,,,,#Robotics #Automation #Tech #Engineering,,,,,,,
,,Passive income strategies for beginners,,,,,#Money #Wealth #Finance #Investing,,,,,,,
,,Portrait photography with natural light,,,,,#Art #PhotoShot #Photography #Nature,,,,,,,
374.0,378.0,Enveloped in serenity while practicing mindfulness by the lake.    , Mindfulness   ,2017-10-20 08:15:00, ZenSeeker       , Instagram , #Mindfulness #LakeTranquility            ,35.0,70.0, Canada           ,2017.0,10.0,20.0,8.0
,,REDUCING PLASTIC WASTE IN OUR OCEANS,,,,,#GreenEnergy #Sustainability #ClimateChange,,,,,,,
,,Managing cross-functional teams effectively,,,,,#Agile #Productivity,,,,,,,
,,THE IMPORTANCE OF CORPORATE COMPLIANCE,,,,,#Law #Lawyer,,,,,,,
